Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,20.694864,20.709970,20.400303,20.407854,18.842567,49257302
2021-08-27,20.422960,20.543806,20.302114,20.490936,18.919275,42686157
2021-08-30,20.483383,20.619335,20.430513,20.566465,18.989014,40268666
2021-08-31,20.536255,20.770393,20.483383,20.709970,19.121510,52696392
2021-09-01,20.725077,20.740181,20.498489,20.536255,18.961119,37546257
2021-09-02,20.528702,21.049849,20.513596,20.876133,19.274927,80611740
2021-09-03,20.876133,20.959215,20.634441,20.815710,19.219139,35800298
2021-09-07,20.747734,20.808157,20.672205,20.709970,19.121510,34935329
2021-09-08,20.740181,20.951662,20.740181,20.845921,19.247034,37976292
2021-09-09,20.823263,20.898792,20.702417,20.709970,19.121510,39806590
2021-09-10,20.755287,20.762840,20.513596,20.528702,18.954145,38245594
2021-09-13,20.649548,20.959215,20.641994,20.785498,19.191246,51168760
2021-09-14,20.808157,20.853474,20.581572,20.641994,19.058750,38046729
2021-09-15,20.657101,20.883686,20.626888,20.823263,19.226112,44541081
2021-09-16,20.815710,20.951662,20.725077,20.845921,19.247034,38041698
2021-09-17,20.709970,21.102718,20.709970,20.793051,19.198219,89996517
2021-09-20,20.634441,20.672205,20.347431,20.551359,18.975067,64631457
2021-09-21,20.626888,20.717524,20.347431,20.362537,18.800726,47120101
2021-09-22,20.407854,20.551359,20.385197,20.400303,18.835594,41950675
2021-09-23,20.438066,20.611782,20.407854,20.536255,18.961119,45047776
2021-09-24,20.506042,20.679758,20.468279,20.490936,18.919275,32406489
2021-09-27,20.521149,20.883686,20.513596,20.694864,19.107563,42571764
2021-09-28,20.725077,20.951662,20.536255,20.574018,18.995987,43597466
2021-09-29,20.604231,20.823263,20.521149,20.694864,19.107563,41619543
2021-09-30,20.755287,20.777946,20.400303,20.400303,18.835594,58751838
2021-10-01,20.498489,20.694864,20.400303,20.513596,18.940199,41759490
2021-10-04,20.574018,20.740181,20.460726,20.581572,19.002962,57892430
2021-10-05,20.619335,20.755287,20.521149,20.657101,19.072697,42649350
2021-10-06,20.589125,20.649548,20.370090,20.626888,19.044804,73923686
2021-10-07,20.392750,20.566465,20.370090,20.460726,19.379948,64402935
2021-10-08,20.438066,20.483383,20.203926,20.219032,19.151020,51635868
2021-10-11,20.158609,20.219032,19.660122,19.660122,18.621634,85460890
2021-10-12,19.652569,19.660122,19.154079,19.206949,18.192400,101515979
2021-10-13,19.093657,19.229607,18.889729,19.108761,18.099398,80546996
2021-10-14,19.161631,19.493958,19.146526,19.350452,18.328321,75032669
2021-10-15,19.403322,19.592146,19.373112,19.410875,18.385551,63061723
2021-10-18,19.305136,19.373112,19.093657,19.131420,18.120861,59807596
2021-10-19,19.229607,19.335346,19.086103,19.327795,18.306862,46242686
2021-10-20,19.342899,19.705439,19.305136,19.569487,18.535786,63927222
2021-10-21,19.728098,19.856495,19.335346,19.456194,18.428478,73916007
2021-10-22,19.456194,19.486404,19.237160,19.252266,18.235323,49159193
2021-10-25,19.206949,19.380665,19.123867,19.365559,18.342630,65704956
2021-10-26,19.358006,19.410875,19.146526,19.161631,18.149473,48187774
2021-10-27,19.176737,19.244713,18.912388,18.927492,17.927702,52952056
2021-10-28,18.980364,19.365559,18.950151,19.297583,18.278244,70281362
2021-10-29,19.161631,19.274923,18.995468,19.078550,18.070784,71775496
2021-11-01,19.229607,19.320242,19.146526,19.161631,18.149473,53318010
2021-11-02,19.184290,19.244713,18.980364,19.055891,18.049320,45810003
2021-11-03,18.972811,19.131420,18.965258,19.018127,18.013550,48160500
2021-11-04,18.980364,19.070997,18.534742,18.731117,17.741699,83532616
2021-11-05,18.768883,19.116314,18.753777,18.957705,17.956320,58867158
2021-11-08,18.927492,18.980364,18.678247,18.791540,17.798933,61161253
2021-11-09,18.746223,18.768883,18.564955,18.663141,17.677317,60057567
2021-11-10,18.648035,18.980364,18.625378,18.844412,17.849010,62271427
2021-11-11,18.874622,18.957705,18.791540,18.821753,17.827549,40223517
2021-11-12,18.844412,18.942598,18.814199,18.836859,17.841858,36217358
2021-11-15,18.859516,18.919941,18.685801,18.731117,17.741699,53290206
2021-11-16,18.723564,18.799093,18.602718,18.625378,17.641546,48162354
2021-11-17,18.602718,18.670694,18.549849,18.625378,17.641546,42762155
2021-11-18,18.602718,18.648035,18.421450,18.421450,17.448391,49734868
2021-11-19,18.368580,18.383686,18.096678,18.225077,17.262390,66821750
2021-11-22,18.202417,18.776436,18.179758,18.655588,17.670160,71414574
2021-11-23,18.648035,18.874622,18.648035,18.700907,17.713087,58975991
2021-11-24,18.632931,18.670694,18.451662,18.481873,17.505623,44597748
2021-11-26,18.172205,18.368580,18.134441,18.293051,17.326775,38851588
2021-11-29,18.315710,18.323263,18.013596,18.043806,17.090694,69449493
2021-11-30,17.854984,17.885197,17.031721,17.243202,16.332380,184492383
2021-12-01,17.371601,17.522659,16.782476,16.790030,15.903147,106323952
2021-12-02,16.827795,17.567976,16.827795,17.409367,16.489769,105952835
2021-12-03,17.386707,17.771902,17.303625,17.719032,16.783077,93399859
2021-12-06,17.817221,18.081572,17.545317,17.583082,16.654306,78265347
2021-12-07,17.598186,17.651056,17.348944,17.432024,16.511229,82646331
2021-12-08,17.386707,17.802114,17.356495,17.500000,16.575615,64794044
2021-12-09,17.394260,17.424471,17.129910,17.326284,16.411076,68283976
2021-12-10,17.356495,17.409367,17.182779,17.250755,16.339535,52988731
2021-12-13,17.152569,17.220545,16.835346,16.948641,16.053379,87574921
2021-12-14,16.910875,17.167673,16.805136,16.835346,15.946070,102318985
2021-12-15,16.827795,16.918428,16.631420,16.744713,15.860221,93643342
2021-12-16,17.107250,18.043806,17.107250,17.907854,16.961926,150436190
2021-12-17,17.975830,18.006042,17.583082,17.960726,17.012003,142867941
2021-12-20,18.149548,18.345921,17.938066,18.270393,17.305315,102088344
2021-12-21,18.368580,18.746223,18.277946,18.481873,17.505623,96523307
2021-12-22,18.459215,18.761330,18.308157,18.716011,17.727394,67746697
2021-12-23,18.768883,18.897282,18.738670,18.783989,17.791780,57348266
2021-12-27,18.783989,18.950151,18.602718,18.716011,17.727394,67853676
2021-12-28,18.685801,18.972811,18.648035,18.746223,17.756008,55695649
2021-12-29,18.738670,18.821753,18.580059,18.610271,17.627239,44728560
2021-12-30,18.632931,18.844412,18.625378,18.716011,17.727394,53706074
2021-12-31,18.670694,18.753777,18.557402,18.580059,17.598621,59608069
2022-01-03,18.716011,19.320242,18.716011,19.206949,18.192400,76970210
2022-01-04,19.373112,19.546827,19.214502,19.365559,18.342630,72918108
2022-01-05,19.637463,20.256798,19.637463,19.796074,18.750404,125367971
2022-01-06,20.173716,20.234138,19.592146,19.720545,18.678865,93758133
2022-01-07,19.569487,20.030210,19.463745,19.856495,19.316994,98164670
2022-01-10,19.932024,20.120846,19.788521,19.984894,19.441904,77030717
2022-01-11,20.128399,20.188822,19.743202,19.894260,19.353731,60054124
2022-01-12,19.848944,20.022659,19.750755,19.977341,19.434555,48477730
2022-01-13,20.015106,20.445620,19.879154,20.241692,19.691723,65005487
2022-01-14,20.105740,20.566465,19.992447,20.528702,19.970936,72617163
2022-01-18,20.551359,20.747734,20.324774,20.626888,20.066454,80247772
2022-01-19,20.732628,20.755287,20.226585,20.604231,20.044413,67442309
2022-01-20,20.490936,20.702417,20.362537,20.407854,19.853371,55659239
2022-01-21,20.271902,20.392750,19.977341,20.098186,19.552118,79715392
2022-01-24,19.780968,20.075529,19.478851,19.894260,19.353731,102910548
2022-01-25,19.758308,20.098186,19.410875,20.000000,19.456598,115467364
2022-01-26,20.377644,20.377644,18.172205,18.315710,17.818071,188252808
2022-01-27,18.172205,18.527189,17.794561,18.217524,17.722553,116707158
2022-01-28,18.179758,19.063444,18.081572,19.040785,18.523445,102063320
2022-01-31,18.859516,19.290030,18.595165,19.259819,18.736528,129691758
2022-02-01,18.270393,18.580059,18.217524,18.444109,17.942982,172591344
2022-02-02,18.285498,18.655588,18.179758,18.534742,18.031153,93834925
2022-02-03,18.504532,18.814199,18.459215,18.549849,18.045847,63825671
2022-02-04,18.512085,18.534742,18.111782,18.187311,17.693161,69719192
2022-02-07,18.157101,18.187311,17.854984,18.074018,17.582947,73169536
2022-02-08,18.036255,18.217524,17.990936,18.081572,17.590296,42150732
2022-02-09,18.134441,18.542295,18.111782,18.504532,18.001762,53029907
2022-02-10,18.474319,18.617825,18.285498,18.315710,17.818071,58431827
2022-02-11,18.330816,18.474319,18.134441,18.225077,17.729900,60084576
2022-02-14,18.157101,18.330816,18.006042,18.164654,17.671120,57458290
2022-02-15,18.255287,18.474319,18.209970,18.383686,17.884199,43586610
2022-02-16,18.255287,18.383686,17.960726,18.081572,17.590296,60662502
2022-02-17,17.998489,18.089125,17.824774,17.945620,17.458036,61712434
2022-02-18,17.907854,18.096678,17.787008,18.028702,17.538862,62595410
2022-02-22,17.953173,18.202417,17.802114,17.938066,17.450689,62168288
2022-02-23,17.975830,18.074018,17.681269,17.756798,17.274345,50233222
2022-02-24,17.341391,17.590633,17.107250,17.545317,17.068611,92965719
2022-02-25,17.711479,18.209970,17.703926,18.058912,17.568251,59026965
2022-02-28,17.817221,17.938066,17.681269,17.892750,17.406603,62788449
2022-03-01,17.832327,17.945620,17.500000,17.771902,17.289038,57663378
2022-03-02,17.794561,18.164654,17.771902,17.990936,17.502121,45624775
2022-03-03,18.089125,18.202417,17.885197,18.058912,17.568251,49218641
2022-03-04,17.900303,18.043806,17.703926,18.028702,17.538862,48190952
2022-03-07,17.877644,18.028702,17.734138,17.802114,17.318430,50113532
2022-03-08,17.756798,17.847431,17.371601,17.371601,16.899614,67277074
2022-03-09,17.590633,17.764351,17.522659,17.567976,17.090654,58010928
2022-03-10,17.537764,17.537764,17.326284,17.515106,17.039221,53623059
2022-03-11,17.824774,17.900303,17.484894,17.515106,17.039221,72142244
2022-03-14,17.537764,17.552870,17.228098,17.288521,16.818790,65683375
2022-03-15,17.356495,17.522659,17.303625,17.439577,16.965742,47089252
2022-03-16,17.484894,17.590633,17.348944,17.515106,17.039221,49791138
2022-03-17,17.462236,17.575529,17.326284,17.515106,17.039221,41109008
2022-03-18,17.522659,17.635952,17.386707,17.537764,17.061262,89500414
2022-03-21,17.537764,17.756798,17.439577,17.492447,17.017176,50990418
2022-03-22,17.567976,17.741692,17.507553,17.530210,17.053913,39631954
2022-03-23,17.530210,17.711479,17.500000,17.530210,17.053913,38180320
2022-03-24,17.552870,17.635952,17.492447,17.620846,17.142088,37218434
2022-03-25,17.673716,18.006042,17.620846,18.006042,17.516817,42137094
2022-03-28,18.126888,18.179758,17.907854,18.028702,17.538862,50968704
2022-03-29,18.081572,18.172205,18.013596,18.119335,17.627031,43979838
2022-03-30,18.164654,18.240181,18.066465,18.232628,17.737246,42385080
2022-03-31,18.126888,18.232628,17.839878,17.847431,17.362514,69574611
2022-04-01,17.915407,18.126888,17.666162,18.111782,17.619682,53381429
2022-04-04,18.013596,18.277946,17.802114,18.262840,17.766638,47195569
2022-04-05,18.104231,18.240181,18.013596,18.043806,17.553555,43936808
2022-04-06,17.960726,18.232628,17.824774,18.149548,17.656424,49327209
2022-04-07,18.058912,18.111782,17.824774,17.922960,17.435993,62815724
2022-04-08,17.877644,18.308157,17.779455,18.232628,17.737246,73121078
2022-04-11,18.889999,19.770000,18.850000,19.629999,19.096651,157485300
2022-04-12,19.750000,20.120001,19.510000,19.559999,19.028553,104795900
2022-04-13,19.120001,19.490000,19.030001,19.420000,19.164740,64100500
2022-04-14,19.320000,19.590000,19.209999,19.540001,19.283163,52731100
2022-04-18,19.430000,19.570000,19.290001,19.459999,19.204212,54812700
2022-04-19,19.490000,19.639999,19.389999,19.490000,19.233820,57496000
2022-04-20,19.520000,19.590000,19.299999,19.430000,19.174608,48751400
2022-04-21,19.680000,20.350000,19.629999,20.209999,19.944355,81259800
2022-04-22,20.049999,20.049999,19.500000,19.520000,19.263426,68483600
2022-04-25,19.770000,19.889999,19.110001,19.510000,19.253557,71861400
2022-04-26,19.450001,19.650000,19.299999,19.299999,19.046316,50825900
2022-04-27,19.230000,19.360001,18.990000,19.070000,18.819340,66767000
2022-04-28,19.250000,19.590000,19.100000,19.420000,19.164740,67479400
2022-04-29,19.360001,19.370001,18.809999,18.860001,18.612101,70195400
2022-05-02,19.000000,19.389999,18.860001,19.120001,18.868685,67551600
2022-05-03,19.180000,19.680000,19.040001,19.330000,19.075922,62675300
2022-05-04,19.280001,19.980000,19.209999,19.950001,19.687775,60771800
2022-05-05,19.740000,19.990000,19.680000,19.950001,19.687775,55503900
2022-05-06,19.799999,20.110001,19.660000,20.030001,19.766722,51506800
2022-05-09,19.980000,20.040001,19.469999,19.549999,19.293030,51563300
2022-05-10,19.660000,19.850000,19.240000,19.360001,19.105530,42465900
2022-05-11,19.500000,19.660000,19.290001,19.430000,19.174608,50074200
2022-05-12,19.400000,19.740000,19.389999,19.719999,19.460796,52687000
2022-05-13,19.740000,19.860001,19.540001,19.840000,19.579220,34107300
2022-05-16,19.930000,20.379999,19.680000,20.280001,20.013437,40027000
2022-05-17,20.400000,20.670000,20.240000,20.570000,20.299623,42938400
2022-05-18,20.510000,20.629999,20.129999,20.230000,19.964092,43342800
2022-05-19,19.920000,20.340000,19.910000,20.209999,19.944355,41588100
2022-05-20,20.209999,20.420000,20.090000,20.400000,20.131859,47415800
2022-05-23,20.530001,20.910000,20.420000,20.740000,20.467390,46775100
2022-05-24,20.799999,21.230000,20.600000,21.160000,20.881868,49841200
2022-05-25,21.120001,21.370001,21.059999,21.299999,21.020027,40179400
2022-05-26,21.379999,21.530001,21.270000,21.320000,21.039766,28495500
2022-05-27,21.309999,21.410000,21.150000,21.290001,21.010160,34169600
2022-05-31,21.190001,21.430000,20.969999,21.290001,21.010160,61515300
2022-06-01,21.440001,21.469999,21.120001,21.219999,20.941080,35928900
2022-06-02,21.260000,21.260000,20.940001,21.190001,20.911474,27085200
2022-06-03,21.059999,21.150000,20.799999,20.900000,20.625286,27796900
2022-06-06,20.920000,21.049999,20.830000,20.940001,20.664761,22002900
2022-06-07,20.900000,21.190001,20.770000,21.139999,20.862131,24977700
2022-06-08,21.090000,21.200001,20.990000,21.049999,20.773314,20732900
2022-06-09,21.020000,21.160000,20.870001,20.879999,20.605549,24934500
2022-06-10,20.680000,20.850000,20.629999,20.690001,20.418047,33572700
2022-06-13,20.400000,20.490000,19.680000,19.760000,19.500271,56215900
2022-06-14,19.879999,19.959999,19.299999,19.450001,19.194345,42638300
2022-06-15,19.600000,19.709999,19.180000,19.440001,19.184477,38941900
2022-06-16,19.280001,19.290001,18.670000,18.959999,18.710785,67896400
2022-06-17,19.139999,19.420000,19.000000,19.379999,19.125265,97645400
2022-06-21,19.650000,20.049999,19.469999,19.959999,19.697641,49307700
2022-06-22,19.850000,20.549999,19.820000,20.320000,20.052910,46607400
2022-06-23,20.430000,20.780001,20.080000,20.610001,20.339098,51713600
2022-06-24,20.700001,21.059999,20.510000,20.990000,20.714104,47641700
2022-06-27,20.950001,21.040001,20.670000,20.780001,20.506865,32339900
2022-06-28,20.930000,21.059999,20.600000,20.610001,20.339098,26754000
2022-06-29,20.670000,21.020000,20.540001,20.950001,20.674629,26585700
2022-06-30,20.790001,21.150000,20.750000,20.959999,20.684496,37655700
2022-07-01,20.969999,21.389999,20.870001,21.309999,21.029896,32762500
2022-07-05,21.129999,21.190001,20.780001,21.170000,20.891737,36960500
2022-07-06,21.170000,21.230000,20.889999,21.090000,20.812790,27645000
2022-07-07,21.170000,21.320000,21.030001,21.150000,20.872000,27015400
2022-07-08,20.930000,21.059999,20.750000,20.799999,20.799999,22366300
2022-07-11,20.709999,20.860001,20.629999,20.660000,20.660000,23326400
2022-07-12,20.629999,20.860001,20.450001,20.600000,20.600000,26448000
2022-07-13,20.450001,20.600000,20.230000,20.450001,20.450001,25213100
2022-07-14,20.129999,20.350000,20.049999,20.330000,20.330000,26621000
2022-07-15,20.540001,20.590000,20.209999,20.570000,20.570000,23838000
2022-07-18,20.629999,20.690001,20.510000,20.530001,20.530001,22507400
2022-07-19,20.600000,20.860001,20.530001,20.799999,20.799999,21813100
2022-07-20,20.820000,20.830000,20.400000,20.480000,20.480000,34207200
2022-07-21,19.040001,19.120001,18.240000,18.920000,18.920000,123409000
2022-07-22,18.660000,18.690001,18.250000,18.400000,18.400000,72016300
2022-07-25,18.379999,18.650000,18.330000,18.530001,18.530001,39493100
2022-07-26,18.400000,18.450001,18.180000,18.299999,18.299999,38885000
2022-07-27,18.350000,18.490000,18.230000,18.389999,18.389999,36607400
2022-07-28,18.299999,18.770000,18.290001,18.580000,18.580000,41940100
2022-07-29,18.510000,18.850000,18.480000,18.780001,18.780001,40819800
2022-08-01,18.850000,18.870001,18.610001,18.730000,18.730000,37087800
2022-08-02,18.719999,18.740000,18.320000,18.360001,18.360001,43625200
2022-08-03,18.420000,18.510000,18.309999,18.370001,18.370001,35524300
2022-08-04,18.309999,18.379999,18.219999,18.270000,18.270000,28287800
2022-08-05,18.270000,18.360001,18.090000,18.350000,18.350000,32726400
2022-08-08,18.360001,18.410000,18.000000,18.000000,18.000000,44042500
2022-08-09,18.040001,18.219999,18.040001,18.100000,18.100000,33257500
2022-08-10,18.219999,18.250000,17.990000,18.010000,18.010000,50229500
2022-08-11,18.059999,18.170000,18.010000,18.040001,18.040001,40798900
2022-08-12,18.100000,18.270000,18.090000,18.270000,18.270000,25822300
2022-08-15,18.190001,18.459999,18.190001,18.389999,18.389999,28845400
2022-08-16,18.370001,18.700001,18.370001,18.570000,18.570000,34241000
2022-08-17,18.420000,18.610001,18.320000,18.420000,18.420000,23772300
2022-08-18,18.260000,18.530001,18.180000,18.430000,18.430000,33817400
2022-08-19,18.379999,18.510000,18.320000,18.430000,18.430000,27161400
2022-08-22,18.309999,18.330000,18.070000,18.129999,18.129999,32057100
2022-08-23,18.110001,18.190001,18.020000,18.059999,18.059999,27298200
2022-08-24,18.070000,18.070000,17.860001,18.010000,18.010000,30647700
2022-08-25,18.049999,18.100000,17.940001,18.090000,18.090000,25198600
2022-08-26,18.020000,18.090000,17.850000,17.889999,17.889999,30590700
2022-08-29,17.809999,17.920000,17.709999,17.780001,17.780001,25465400
2022-08-30,17.809999,17.900000,17.750000,17.820000,17.820000,32481900
